Issuer,Card,App Name,Perks Value
Amex,Biz Gold,Amex Business Gold,$100 
Amex,Biz Platinum,Amex Business Platinum,$500 
Amex,Blue Biz Plus,Amex Blue Business Plus,
Amex,Blue Cash Everyday,Amex Blue Cash Everyday,
Amex,Blue Cash Pref,Amex Blue Cash Pref,$100 
Amex,Everyday,Amex Everyday,
Amex,Everyday Pref,Amex Everyday Pref,$100 
Amex,Gold,Amex Gold,$200 
Amex,Green,Amex Green,$100 
Amex,Platinum,Amex Platinum,$500 
Amex,Schwab Platinum,Schwab Platinum,$500 
Amex DL,Delta Blue,Delta Blue,$150 
Amex DL,Delta Gold,Delta Gold,$100 
Amex DL,Delta Gold Biz,Delta Gold Business,$100 
Amex DL,Delta Platinum,Delta Platinum,$250 
Amex DL,Delta Platinum Biz,Delta Platinum Business,$250 
Amex DL,Delta Reserve,Delta Reserve,$450 
Amex DL,Delta Reserve Biz,Delta Reserve Business,$450 
Amex HH,Hilton Aspire,Hilton Aspire,$550 
Amex HH,Hilton Business,Hilton Business,$0 
Amex HH,Hilton Card,Hilton Card,
Amex HH,Hilton Surpass,Hilton Surpass,$150 
Amex MB,Bonvoy Bevy,Bonvoy Bevy,$100 
Amex MB,Bonvoy Brilliant,Bonvoy Brilliant,$450 
Amex MB,Bonvoy Business,Bonvoy Business,$125 
Apple,Apple Card,Apple Card,
Barclays JB,JetBlue Business,JetBlue Business,$99 
Barclays JB,JetBlue Card,JetBlue Card,
Barclays JB,JetBlue Plus,JetBlue Plus,$95 
Barclays JB,JetBlue Premier,JetBlue Premier,$100 
Bilt,Bilt Card,Bilt Card,
BoA,Biz Customized Cash,BoA Business Customized Cash,
BoA,Biz Travel Rewards,BoA Business Travel Rewards,
BoA,Biz Unlimited Cash,BoA Business Unlimited Cash,
BoA,Customized Cash,BoA Customized Cash,
BoA,Premium Rewards,BoA Premium Rewards,$100 
BoA,Premium Rewards Elite,BoA Premium Rewards Elite,$450 
BoA,Travel Rewards,BoA Travel Rewards,
BoA,Unlimited Cash,BoA Unlimited Cash,
BoA AS,Alaska Business,Alaska Business,$95 
BoA AS,Alaska Personal,Alaska Personal,$95 
BoA AS,Alaska Summit,Alaska Summit,$350 
Capital One,Quicksilver,Capital One Quicksilver,
Cap1,Savor,Cap1 Savor,$100 
Cap1,Spark Cash Plus,Cap1 Spark Cash Plus,$100 
Cap1,Spark Miles 2x,Cap1 Spark Miles 2x,$100 
Cap1,Venture,Cap1 Venture,$50 
Cap1,Venture X,Cap1 Venture X,$395 
Cap1,Venture X Business,Cap1 Venture X Business,$400 
Cap1,VentureOne,Cap1 VentureOne,
Chase,Amazon Prime,Amazon Prime,
Chase,Freedom Flex,Amazon Prime,
Chase,Freedom Unlimited,Chase Freedom Unlimited,
Chase,Ink Biz Preferred,Chase Ink Business Preferred,$50 
Chase,Ink Cash,Chase Ink Cash,
Chase,Ink Premier,Chase Ink Premier,$0 
Chase,Ink Unlimited,Chase Ink Unlimited,
Chase,Sapphire Preferred,Chase Sapphire Preferred,$50 
Chase,Sapphire Reserve,Chase Sapphire Reserve,$795 
Chase,Sapphire Reserve Biz,Chase Sapphire Reserve Business,$645 
Chase IHG,IHG Premier,IHG Premier,$99 
Chase IHG,IHG Premier Biz,IHG Premier Business,$99 
Chase IHG,IHG Traveler,IHG Traveler,
Chase MB,Bonvoy Bold,Bonvoy Bold,
Chase MB,Bonvoy Boundless,Bonvoy Boundless,$95 
Chase MB,Bonvoy Bountiful,Bonvoy Bountiful,$250 
Chase MB,Ritz Carlton,Ritz Carlton,$450 
Chase SW,SW Performance Biz,Southwest Performance Business,$149 
Chase SW,SW Plus,Southwest Plus,$69 
Chase SW,SW Preferred Biz,Southwest Preferred Business,$99 
Chase SW,SW Premier,Southwest Premier,$99 
Chase SW,SW Priority,Southwest Priority,$149 
Chase UA,United Business,United Business,$150 
Chase UA,United Club,United Club,$450 
Chase UA,United Club Business,United Club Business,$450 
Chase UA,United Explorer,United Explorer,$150 
Chase UA,United Gateway,United Gateway,
Chase UA,United Quest,United Quest,$300 
Chase WOH,Hyatt Business,Hyatt Business,$95 
Chase WOH,Hyatt Personal,Hyatt Personal,$95 
Citi,Costco Visa,Costco Visa,
Citi,Custom Cash,Citi Custom Cash,
Citi,Double Cash,Citi Double Cash,$50 
Citi,Strata Elite,Citi Strata Elite,$300 
Citi,Strata Premier,Citi Strata Premier,$100 
Citi,Strata+,Citi Strata+,
Citi AA,AA Business,AA Business,
Citi AA,AA Executive,AA Executive,$350 
Citi AA,AA MileUp,AA MileUp,
Citi AA,AA Platinum,AA Platinum,$99 
Discover,DiscoverIt Cash Back,DiscoverIt Cash Back,
Discover,DiscoverIt Miles,DiscoverIt Miles,
Mesa,Homeowners Card,Mesa Homeowners Card,
Paypal,Debit Card,Paypal Debit Card,
Paypal,Mastercard,Paypal Mastercard,
Robinhood,Robinhood Card,Robinhood Card,$0 
Sam's Club,Mastercard,Sam's Club Mastercard,
US Bank,Altitude Reserve,US Bank Altitude Reserve,$350 
US Bank,Smartly Visa,US Bank Smartly Visa,$0 
Venmo,Venmo Card,Venmo Card,
Verizon,VZW Visa,Verizon Visa,
Webbank,Gemini Card,Gemini Card,
Wells Fargo,Active Cash,Wells Fargo Active Cash,
Wells Fargo,Attune,Wells Fargo Attune,
Wells Fargo,Autograph,Wells Fargo Autograph,
Wells Fargo,Autograph Journey,Wells Fargo Autograph Journey,$50 
